sex,group,parent_edu,lunch,prep,math,reading,writing,avg_score,pass
M,C,bachelor,standard,no,83,78,73,78.0,yes
F,E,hs,standard,yes,59,63,75,65.7,yes
M,D,hs,standard,no,53,52,42,49.0,no
M,D,hs,standard,no,45,48,46,46.3,no
M,E,some_hs,standard,yes,77,76,77,76.7,yes
M,C,some_hs,standard,yes,63,60,57,60.0,yes
M,D,hs,free,yes,78,77,80,78.3,yes
M,A,some_hs,standard,yes,46,41,43,43.3,no
M,C,hs,free,yes,40,46,50,45.3,no
M,D,associate,free,no,90,87,75,84.0,yes
M,C,some_hs,standard,no,51,52,44,49.0,no
F,D,hs,free,no,49,57,52,52.7,no
F,B,associate,standard,no,73,76,80,76.3,yes
M,D,bachelor,standard,yes,67,61,68,65.3,yes
F,C,bachelor,standard,yes,59,64,75,66.0,yes
M,B,bachelor,standard,no,63,71,69,67.7,yes
F,D,associate,free,no,56,65,63,61.3,yes
F,E,hs,standard,no,75,86,79,80.0,yes
M,A,some_college,free,no,28,23,19,23.3,no
M,C,associate,standard,yes,82,75,77,78.0,yes
M,E,associate,standard,yes,62,56,53,57.0,no
M,B,some_college,standard,no,62,61,57,60.0,yes
M,E,some_college,standard,no,66,57,52,58.3,no
F,B,bachelor,standard,no,61,72,70,67.7,yes
M,B,some_hs,standard,yes,85,84,78,82.3,yes
F,D,some_hs,free,no,27,34,32,31.0,no
M,A,bachelor,free,yes,49,58,60,55.7,no
M,E,some_college,standard,no,84,77,71,77.3,yes
F,C,some_college,free,yes,45,73,70,62.7,yes
F,D,master,free,yes,85,95,100,93.3,yes
M,C,master,free,no,79,81,71,77.0,yes
F,D,hs,free,yes,52,57,56,55.0,no
M,E,some_college,standard,yes,84,83,78,81.7,yes
F,C,some_college,free,no,62,67,62,63.7,yes
M,C,some_hs,free,no,68,63,54,61.7,yes
M,C,hs,standard,no,61,56,55,57.3,no
M,D,associate,standard,no,75,68,64,69.0,yes
M,D,some_hs,standard,yes,89,88,82,86.3,yes
F,C,some_hs,standard,yes,67,74,77,72.7,yes
F,E,some_college,standard,no,100,92,97,96.3,yes
F,E,some_college,standard,no,71,70,76,72.3,yes
M,E,associate,standard,no,76,71,67,71.3,yes
M,D,some_college,free,no,61,47,56,54.7,no
F,C,bachelor,standard,no,81,88,90,86.3,yes
F,B,hs,standard,no,54,64,68,62.0,yes
M,E,some_college,standard,no,76,71,72,73.0,yes
F,B,some_hs,standard,yes,54,61,62,59.0,no
F,C,associate,standard,no,91,86,84,87.0,yes
M,D,bachelor,standard,no,69,58,57,61.3,yes
M,C,some_hs,free,yes,56,61,60,59.0,no
F,C,hs,free,no,36,53,43,44.0,no
F,D,bachelor,free,no,29,41,47,39.0,no
F,C,associate,standard,no,62,74,70,68.7,yes
M,B,hs,standard,yes,73,69,68,70.0,yes
F,C,associate,standard,no,81,77,79,79.0,yes
F,D,associate,standard,no,82,95,89,88.7,yes
F,C,hs,free,no,62,67,64,64.3,yes
M,C,master,standard,no,79,72,69,73.3,yes
M,E,associate,standard,no,53,45,40,46.0,no
M,D,some_hs,standard,no,73,66,62,67.0,yes
M,B,some_college,standard,yes,71,75,70,72.0,yes
F,B,some_college,free,yes,48,56,58,54.0,no
F,D,associate,standard,yes,73,75,80,76.0,yes
F,D,some_college,standard,no,69,77,77,74.3,yes
F,A,some_hs,standard,no,48,66,65,59.7,no
M,C,some_college,free,no,58,57,54,56.3,no
F,C,bachelor,standard,yes,56,79,72,69.0,yes
F,D,some_hs,standard,no,65,82,81,76.0,yes
F,C,hs,standard,no,29,29,30,29.3,no
M,D,master,free,yes,84,89,90,87.7,yes
F,C,associate,standard,no,65,77,74,72.0,yes
M,D,bachelor,standard,no,88,78,83,83.0,yes
M,B,bachelor,free,no,62,63,56,60.3,yes
M,B,associate,free,yes,69,70,63,67.3,yes
M,A,hs,standard,no,71,74,64,69.7,yes
F,B,hs,free,yes,67,80,81,76.0,yes
F,E,hs,standard,yes,74,79,80,77.7,yes
M,B,hs,standard,no,70,65,60,65.0,yes
F,D,some_college,standard,yes,69,79,81,76.3,yes
M,C,some_hs,free,yes,51,56,53,53.3,no
F,D,some_college,standard,yes,85,86,98,89.7,yes
M,C,associate,free,no,77,67,64,69.3,yes
M,C,some_college,free,no,74,77,73,74.7,yes
F,D,some_college,free,no,55,71,69,65.0,yes
M,C,some_college,standard,no,73,74,61,69.3,yes
F,C,hs,free,no,66,76,68,70.0,yes
F,C,some_hs,standard,yes,70,82,76,76.0,yes
M,D,associate,free,no,81,75,78,78.0,yes
M,D,some_college,free,no,63,61,60,61.3,yes
M,D,associate,free,no,77,78,73,76.0,yes
M,E,some_college,free,no,93,90,83,88.7,yes
F,C,bachelor,free,yes,66,74,81,73.7,yes
F,A,bachelor,standard,no,59,72,70,67.0,yes
M,D,master,standard,no,81,81,84,82.0,yes
F,B,some_hs,standard,yes,60,70,74,68.0,yes
M,C,associate,standard,yes,73,78,72,74.3,yes
M,D,some_hs,free,yes,55,59,59,57.7,no
F,B,some_college,free,yes,53,66,73,64.0,yes
M,D,bachelor,standard,no,80,73,72,75.0,yes
F,A,associate,free,no,37,57,56,50.0,no
M,B,some_college,standard,yes,87,84,86,85.7,yes
F,C,some_hs,standard,yes,77,90,85,84.0,yes
F,D,some_hs,standard,no,48,58,54,53.3,no
M,D,some_college,standard,no,60,63,59,60.7,yes
M,B,hs,standard,yes,76,62,60,66.0,yes
F,B,some_college,standard,no,19,38,32,29.7,no
M,C,some_hs,standard,yes,67,73,68,69.3,yes
F,E,associate,standard,no,87,94,95,92.0,yes
M,A,some_hs,standard,no,51,31,36,39.3,no
M,A,hs,free,no,45,47,49,47.0,no
F,A,bachelor,standard,no,45,59,64,56.0,no
F,A,some_hs,standard,yes,85,90,92,89.0,yes
M,E,some_college,free,yes,49,52,51,50.7,no
F,B,hs,free,no,71,87,82,80.0,yes
F,C,associate,free,yes,56,68,70,64.7,yes
M,B,some_hs,standard,no,68,54,53,58.3,no
F,A,hs,standard,yes,75,82,79,78.7,yes
M,E,master,standard,no,90,85,84,86.3,yes
M,D,associate,standard,no,80,75,69,74.7,yes
M,C,associate,free,no,87,73,72,77.3,yes
M,D,some_college,standard,yes,82,82,88,84.0,yes
M,C,hs,free,no,59,53,52,54.7,no
M,B,associate,standard,no,61,42,41,48.0,no
F,D,associate,standard,no,64,76,74,71.3,yes
M,D,bachelor,free,no,55,46,44,48.3,no
F,E,associate,standard,no,51,51,54,52.0,no
F,A,master,free,no,50,67,73,63.3,yes
M,D,some_hs,standard,yes,88,74,75,79.0,yes
F,D,some_hs,standard,yes,65,78,82,75.0,yes
F,C,master,standard,no,73,78,74,75.0,yes
F,A,hs,free,yes,34,48,41,41.0,no
F,B,associate,free,no,46,61,55,54.0,no
F,C,hs,standard,no,44,61,52,52.3,no
M,D,hs,free,no,74,70,69,71.0,yes
M,A,associate,standard,no,67,57,53,59.0,no
M,D,some_college,standard,yes,85,81,85,83.7,yes
F,D,master,standard,no,78,91,96,88.3,yes
M,C,hs,standard,no,81,66,64,70.3,yes
F,D,some_college,free,no,49,58,60,55.7,no
M,B,some_hs,free,yes,49,50,52,50.3,no
M,C,hs,standard,no,75,81,71,75.7,yes
F,D,some_college,free,no,49,65,61,58.3,no
F,A,some_college,standard,no,54,63,67,61.3,yes
M,C,associate,standard,no,62,65,58,61.7,yes
M,D,hs,standard,yes,55,41,48,48.0,no
M,A,hs,standard,no,57,51,54,54.0,no
F,C,associate,standard,no,40,59,51,50.0,no
F,D,some_college,free,yes,67,86,83,78.7,yes
F,E,master,standard,yes,88,99,95,94.0,yes
F,D,some_college,standard,yes,68,78,77,74.3,yes
